date,m1,m2
201601,412685.64,1416319.55
201602,392504.7,1424618.68
201603,411581.31,1446198.03
201604,413504.84,1445209.59
201605,424250.7,1461695.11
201606,443643.7,1490491.83
201607,442934.43,1491558.72
201608,454543.6,1510982.91
201609,454340.25,1516360.5
201610,465446.65,1519485.4
201611,475405.54,1530432.06
201612,486557.24,1550066.67
201701,472526.45,1584194.56
201702,476527.6,1589857.0
201703,488770.09,1607938.98
201704,490180.42,1603918.84
201705,496389.78,1609740.77
201706,510228.17,1639497.05
201707,510484.58,1636341.11
201708,518113.93,1652947.3
201709,517863.04,1663666.05
201710,525977.19,1662449.96
201711,535565.05,1679156.64
201712,543790.15,1690235.31
201801,543247.13,1720814.46
201802,517035.99,1729070.12
201803,523540.07,1739859.48
201804,525447.77,1737683.73
201805,526276.72,1743063.79
201806,543944.71,1770178.37
201807,536624.29,1776196.11
201808,538324.64,1788670.43
201809,538574.08,1801665.58
201810,540128.37,1795561.6
201811,543498.66,1813175.07
201812,551685.91,1826744.22
201901,545638.46,1865935.33
201902,527190.48,1867427.45
201903,547575.54,1889412.14
201904,540614.6,1884670.33
201905,544355.64,1891153.7
201906,567696.18,1921360.19
201907,553043.11,1919410.82
201908,556798.09,1935492.43
201909,557137.95,1952250.49
201910,558143.92,1945600.55
201911,562486.52,1961429.56
201912,576009.15,1986488.82
202001,545531.79,2023066.49
202002,552700.73,2030830.42
202003,575050.29,2080923.41
202004,570150.48,2093533.83
202005,581111.06,2100183.74
202006,604317.97,2134948.66
202007,591192.64,2125458.46
202008,601289.1,2136836.91
202009,602312.12,2164084.8
202010,609182.41,2149720.42
202011,618632.17,2172002.55
202012,625580.99,2186795.89
202101,625563.81,2213047.33
202102,593487.46,2236030.26
202103,616113.17,2276488.45
202104,605421.89,2262107.12
202105,616828.32,2275538.07
202106,637479.36,2317788.36
202107,620367.05,2302153.82
202108,626658.69,2312267.68
202109,624645.68,2342829.7
202110,626082.12,2336160.48
202111,637482.04,2356012.76
202112,647443.35,2382899.56
202201,613859.35,2431022.72
202202,621612.11,2441488.9
202203,645063.8,2497688.34
202204,636139.01,2499710.9
202205,645107.52,2527026.15
202206,674374.81,2581451.2
202207,661832.33,2578078.57
202208,664604.85,2595068.27
202209,664535.17,2626600.92
202210,662140.99,2612914.57
202211,667042.61,2647008.48
202212,671674.76,2664320.84
202301,655214.16,2738072.06
202302,657938.74,2755249.23
202303,678059.63,2814566.31
202304,669761.55,2808469.34
202305,675252.98,2820504.68
202306,695595.48,2873023.83
202307,677218.92,2854031.56
202308,679588.35,2869343.25
202309,678443.65,2896659.11
202310,674696.07,2882276.07
202311,675903.41,2912014.22
202312,680542.52,2922713.33
202401,694197.88,2976250.2
202402,665916.09,2995572.97
202403,685808.9,3047952.16
202404,660065.69,3011941.98
202405,646842.47,3018506.73
202406,660610.52,3050161.54
202407,632296.54,3033060.78
202408,630238.09,3050461.27
202409,628236.54,3094798.24
202410,633357.47,3097092.01
202411,650904.16,3119587.27
202412,670959.41,3135322.3
202501,1124457.45,3185247.18
202502,1094370.01,3205173.24
202503,1134863.1,3260554.57
202504,1091407.33,3251739.32
202505,1089147.65,3257838.11
202506,1139494.08,3302868.17
202507,1110586.92,3299429.06
202508,1112255.7,3319831.44
202509,1131455.07,3353771.03
202510,1119962.73,3351312.31
202511,1128866.64,3369890.52
202512,1155146.5,3402948.06
202601,1179680.52,3471860.39
202602,1159300.0,3492200.0
